date,FTSEUROFIRST 80,volume
2003-04-30,2890.84,0
2003-05-02,2890.44,0
2003-05-05,2926.36,0
2003-05-06,2969.48,0
2003-05-07,2932.49,0
2003-05-08,2849.69,0
2003-05-09,2879.12,0
2003-05-12,2881.97,0
2003-05-13,2878.06,0
2003-05-14,2877.81,0
2003-05-15,2918.91,0
2003-05-16,2923.85,0
2003-05-19,2801.82,0
2003-05-20,2805.31,0
2003-05-21,2779.51,0
2003-05-22,2821.02,0
2003-05-23,2807.31,0
2003-05-26,2799.18,0
2003-05-27,2821.13,0
2003-05-28,2880.27,0
2003-05-29,2885.75,0
2003-05-30,2912.21,0
2003-06-02,2968.62,0
2003-06-03,2946.59,0
2003-06-04,2980.92,0
2003-06-05,2950.93,0
2003-06-06,3020.36,0
2003-06-09,2980.99,0
2003-06-10,3004.1,0
2003-06-11,3046.65,0
2003-06-12,3078.14,0
2003-06-13,3033.96,0
2003-06-16,3098.85,0
2003-06-17,3116.74,0
2003-06-18,3140.39,0
2003-06-19,3093.8,0
2003-06-20,3123.83,0
2003-06-23,3047.37,0
2003-06-24,3043.12,0
2003-06-25,3048.04,0
2003-06-26,3048.52,0
2003-06-27,3051.74,0
2003-06-30,3013.97,0
2003-07-01,2948.43,0
2003-07-02,3013.56,0
2003-07-03,3013.09,0
2003-07-04,3004.96,0
2003-07-07,3105.39,0
2003-07-08,3107.54,0
2003-07-09,3085.97,0
2003-07-10,3044.08,0
2003-07-11,3087.4,0
2003-07-14,3135.64,0
2003-07-15,3122.15,0
2003-07-16,3104.34,0
2003-07-17,3057.74,0
2003-07-18,3071,0
2003-07-21,3022.17,0
2003-07-22,3040.02,0
2003-07-23,3032.53,0
2003-07-24,3092.64,0
2003-07-25,3053.14,0
2003-07-28,3102.78,0
2003-07-29,3080.46,0
2003-07-30,3100,0
2003-07-31,3136.93,0
2003-08-01,3093.19,0
2003-08-04,3066,0
2003-08-05,3095.85,0
2003-08-06,3043.95,0
2003-08-07,3039.52,0
2003-08-08,3066.9,0
2003-08-11,3089.45,0
2003-08-12,3112.81,0
2003-08-13,3112.97,0
2003-08-14,3165.3,0
2003-08-15,3170.42,0
2003-08-18,3202.47,0
2003-08-19,3210.94,0
2003-08-20,3195.98,0
2003-08-21,3223.52,0
2003-08-22,3237.42,0
2003-08-25,3202.51,0
2003-08-26,3166.41,0
2003-08-27,3196.25,0
2003-08-28,3217.23,0
2003-08-29,3201.04,0
2003-09-01,3254,0
2003-09-02,3253.18,0
2003-09-03,3310.3,0
2003-09-04,3303.86,0
2003-09-05,3274.23,0
2003-09-08,3300.82,0
2003-09-09,3256.75,0
2003-09-10,3208.43,0
2003-09-11,3216.69,0
2003-09-12,3183.03,0
2003-09-15,3196.81,0
2003-09-16,3232.69,0
2003-09-17,3235.27,0
2003-09-18,3262.68,0
2003-09-19,3231.28,0
2003-09-22,3145.31,0
2003-09-23,3121.18,0
2003-09-24,3100.1,0
2003-09-25,3082.57,0
2003-09-26,3061.29,0
2003-09-29,3050.5,0
2003-09-30,2996.91,0
2003-10-01,3048.66,0
2003-10-02,3042.06,0
2003-10-03,3143.35,0
2003-10-06,3123.47,0
2003-10-07,3096.94,0
2003-10-08,3103.42,0
2003-10-09,3173.4,0
2003-10-10,3157.15,0
2003-10-13,3211.39,0
2003-10-14,3198.77,0
2003-10-15,3225.43,0
2003-10-16,3209.89,0
2003-10-17,3199.12,0
2003-10-20,3201.95,0
2003-10-21,3211.76,0
2003-10-22,3150.62,0
2003-10-23,3125.75,0
2003-10-24,3117.77,0
2003-10-27,3154.01,0
2003-10-28,3193.97,0
2003-10-29,3211.02,0
2003-10-30,3231.34,0
2003-10-31,3235.72,0
2003-11-03,3305.07,0
2003-11-04,3295.85,0
2003-11-05,3273.94,0
2003-11-06,3295.44,0
2003-11-07,3334.63,0
2003-11-10,3305.59,0
2003-11-11,3286.02,0
2003-11-12,3297.93,0
2003-11-13,3309.61,0
2003-11-14,3334.21,0
2003-11-17,3247.46,0
2003-11-18,3244.96,0
2003-11-19,3232.12,0
2003-11-20,3223.29,0
2003-11-21,3235.67,0
2003-11-24,3301.12,0
2003-11-25,3296.87,0
2003-11-26,3291.12,0
2003-11-27,3312.41,0
2003-11-28,3305.09,0
2003-12-01,3360.97,0
2003-12-02,3351.88,0
2003-12-03,3383.49,0
2003-12-04,3384.55,0
2003-12-05,3355.44,0
2003-12-08,3333.05,0
2003-12-09,3355.18,0
2003-12-10,3333.45,0
2003-12-11,3363.29,0
2003-12-12,3361.45,0
2003-12-15,3376.37,0
2003-12-16,3370.02,0
2003-12-17,3362.37,0
2003-12-18,3388.13,0
2003-12-19,3398.29,0
2003-12-22,3383.38,0
2003-12-23,3395.73,0
2003-12-24,3400.28,0
2003-12-29,3422.04,0
2003-12-30,3428.25,0
2003-12-31,3440.1,0
2004-01-02,3486.54,0
2004-01-05,3501.49,0
2004-01-06,3498.62,0
2004-01-07,3470.82,0
2004-01-08,3518.49,0
2004-01-09,3491.09,0
2004-01-12,3482.42,0
2004-01-13,3488.26,0
2004-01-14,3523.26,0
2004-01-15,3536.08,0
2004-01-16,3569.81,0
2004-01-19,3589.09,0
2004-01-20,3562.89,0
2004-01-21,3579.78,0
2004-01-22,3597.81,0
2004-01-23,3598.7,0
2004-01-26,3579.02,0
2004-01-27,3592.74,0
2004-01-28,3606.88,0
2004-01-29,3562.74,0
2004-01-30,3535.65,0
2004-02-02,3552.58,0
2004-02-03,3534.33,0
2004-02-04,3508.17,0
2004-02-05,3503.64,0
2004-02-06,3521.73,0
2004-02-09,3566.93,0
2004-02-10,3578.51,0
2004-02-11,3591.49,0
2004-02-12,3597.67,0
2004-02-13,3556.37,0
2004-02-16,3575.33,0
2004-02-17,3598.31,0
2004-02-18,3601.73,0
2004-02-19,3642.97,0
2004-02-20,3608.12,0
2004-02-23,3608.99,0
2004-02-24,3558.29,0
2004-02-25,3566.52,0
2004-02-26,3577.28,0
2004-02-27,3589.41,0
2004-03-01,3617.1,0
2004-03-02,3651.21,0
2004-03-03,3628.42,0
2004-03-04,3656.82,0
2004-03-05,3648.27,0
2004-03-08,3665.06,0
2004-03-09,3621.22,0
2004-03-10,3617.87,0
2004-03-11,3512.64,0
2004-03-12,3513.17,0
2004-03-15,3419.17,0
2004-03-16,3436.17,0
2004-03-17,3497.13,0
2004-03-18,3427.83,0
2004-03-19,3435.71,0
2004-03-22,3365.53,0
2004-03-23,3368.41,0
2004-03-24,3356.97,0
2004-03-25,3409.26,0
2004-03-26,3431.31,0
2004-03-29,3474.82,0
2004-03-30,3465.89,0
2004-03-31,3462.15,0
2004-04-01,3501.34,0
2004-04-02,3578.76,0
2004-04-05,3606.08,0
2004-04-06,3559.72,0
2004-04-07,3545.95,0
2004-04-08,3554.09,0
2004-04-13,3591.71,0
2004-04-14,3549.98,0
2004-04-15,3544.74,0
2004-04-16,3562.41,0
2004-04-19,3553.78,0
2004-04-20,3581.52,0
2004-04-21,3551.69,0
2004-04-22,3579.61,0
2004-04-23,3602.72,0
2004-04-26,3594.25,0
2004-04-27,3594.31,0
2004-04-28,3537.85,0
2004-04-29,3499.31,0
2004-04-30,3475.79,0
2004-05-03,3499.65,0
2004-05-04,3492.68,0
2004-05-05,3522.36,0
2004-05-06,3448.98,0
2004-05-07,3437.64,0
2004-05-10,3348.83,0
2004-05-11,3396.39,0
2004-05-12,3347.32,0
2004-05-13,3386.23,0
2004-05-14,3363.59,0
2004-05-17,3319.18,0
2004-05-18,3341.17,0
2004-05-19,3408.93,0
2004-05-20,3383.44,0
2004-05-21,3372.85,0
2004-05-24,3395.66,0
2004-05-25,3373.42,0
2004-05-26,3410.27,0
2004-05-27,3436.39,0
2004-05-28,3420.87,0
2004-05-31,3435.37,0
2004-06-01,3391.86,0
2004-06-02,3411.48,0
2004-06-03,3419.62,0
2004-06-04,3456.6,0
2004-06-07,3494.55,0
2004-06-08,3496.14,0
2004-06-09,3481.21,0
2004-06-10,3497.11,0
2004-06-11,3491.87,0
2004-06-14,3444.57,0
2004-06-15,3476.75,0
2004-06-16,3499.22,0
2004-06-17,3501.26,0
2004-06-18,3518.27,0
2004-06-21,3512.5,0
2004-06-22,3471.34,0
2004-06-23,3485.43,0
2004-06-24,3520.49,0
2004-06-25,3516.79,0
2004-06-28,3545.53,0
2004-06-29,3532.98,0
2004-06-30,3513.19,0
2004-07-01,3505.02,0
2004-07-02,3476.6,0
2009-08-06,3374.94,0
2009-08-07,3427.29,0
2009-08-10,3412.82,0
2009-08-11,3358.25,0
2009-08-12,3404.04,0
2009-08-13,3429.82,0
2009-08-14,3386.08,0
2009-08-17,3305.38,0
2009-08-18,3339.03,0
2009-08-19,3331.45,0
2009-08-20,3383.38,0
2009-08-21,3483.67,0
2009-08-24,3526.09,0
2009-08-25,3554.81,0
2009-08-26,3541.89,0
2009-08-27,3526.56,0
2009-08-28,3562.7,0
2009-08-31,3526.17,0
2009-09-01,3452.62,0
2009-09-02,3433.42,0
2009-09-03,3429.03,0
2009-09-04,3485.24,0
2009-09-07,3539.27,0
2009-09-08,3544.91,0
2009-09-09,3589.79,0
2009-09-10,3588.54,0
2009-09-11,3609.37,0
2009-09-14,3607.01,0
2009-09-15,3626.99,0
2009-09-16,3678.17,0
2009-09-17,3696.09,0
2009-09-18,3683.52,0
2009-09-21,3662.82,0
2009-09-22,3675.04,0
2009-09-23,3681.07,0
2009-09-24,3620.85,0
2009-09-25,3610.01,0
2009-09-28,3693.14,0
2009-09-29,3684.75,0
2009-09-30,3662.36,0
2009-10-01,3586.8,0
2009-10-02,3523.2,0
2009-10-05,3559.4,0
2009-10-06,3654.95,0
2009-10-07,3639.84,0
2009-10-08,3684.92,0
2009-10-09,3679.26,0
2009-10-12,3717.47,0
2009-10-13,3676.15,0
2009-10-14,3760.75,0
2009-10-15,3747.08,0
2009-10-16,3694.51,0
2009-10-19,3759.65,0
2009-10-20,3733.74,0
2009-10-21,3744.49,0
2009-10-22,3701.86,0
2009-10-23,3680.94,0
2009-10-26,3618.2,0
2009-10-27,3615.71,0
2009-10-28,3540.22,0
2009-10-29,3602.12,0
2009-10-30,3502,0
2009-11-02,3524.6,0
2009-11-03,3462.99,0
2009-11-04,3529.49,0
2009-11-05,3566.71,0
2009-11-06,3567.48,0
2009-11-09,3649.51,0
2009-11-10,3642.6,0
2009-11-11,3671.26,0
2009-11-12,3666.15,0
2009-11-13,3673.88,0
2009-11-16,3728.49,0
2009-11-17,3705.2,0
2009-11-18,3708.64,0
2009-11-19,3646.51,0
2009-11-20,3613.21,0
2009-11-23,3693.14,0
2009-11-24,3667.81,0
2009-11-25,3691.77,0
2009-11-26,3569.56,0
2009-11-27,3610.2,0
2009-11-30,3567.22,0
2009-12-01,3661.4,0
2009-12-02,3670.32,0
2009-12-03,3671.36,0
2009-12-04,3712.53,0
2009-12-07,3696.69,0
2009-12-08,3637.71,0
2009-12-09,3597.1,0
2009-12-10,3636.87,0
2009-12-11,3650.44,0
2009-12-14,3678.34,0
2009-12-15,3684,0
2009-12-16,3728.02,0
2009-12-17,3685.33,0
2009-12-18,3659.14,0
2009-12-21,3724.85,0
2009-12-22,3746.94,0
2009-12-23,3761.06,0
2009-12-24,3761.52,0
2009-12-28,3791.56,0
2009-12-29,3802.48,0
2009-12-30,3773.06,0
2009-12-31,3773.09,0
2010-01-04,3839.33,0
2010-01-05,3837.39,0
2010-01-06,3839.16,0
2010-01-07,3835.25,0
2010-01-08,3848.57,0
2010-01-11,3839.12,0
2010-01-12,3796.86,0
2010-01-13,3801.48,0
2010-01-14,3815.31,0
2010-01-15,3755.4,0
2010-01-18,3778.29,0
2010-01-19,3810.9,0
2010-01-20,3724.99,0
2010-01-21,3662.46,0
2010-01-22,3630.31,0
2010-01-25,3593.8,0
2010-01-26,3617.46,0
2010-01-27,3569.78,0
2010-01-28,3510.68,0
2010-01-29,3558.84,0
2010-02-01,3581.97,0
2010-02-02,3627.37,0
2010-02-03,3594.45,0
2010-02-04,3474.24,0
2010-02-05,3381.62,0
2010-02-08,3419.06,0
2010-02-09,3427.04,0
2010-02-10,3463.15,0
2010-02-11,3438.14,0
2010-02-12,3428.8,0
2010-02-15,3439.99,0
2010-02-16,3485.48,0
2010-02-17,3534.8,0
2010-02-18,3553.85,0
2010-02-19,3573.37,0
2010-02-22,3553.37,0
2010-02-23,3494.39,0
2010-02-24,3498.8,0
2010-02-25,3435.64,0
2010-02-26,3490.12,0
2010-03-01,3546.64,0
2010-03-02,3580.38,0
2010-03-03,3616.8,0
2010-03-04,3609.42,0
2010-03-05,3683.66,0
2010-03-08,3685,0
2010-03-09,3687.01,0
2010-03-10,3722.83,0
2010-03-11,3707.14,0
2010-03-12,3712.16,0
2010-03-15,3678.02,0
2010-03-16,3720.28,0
2010-03-17,3750.63,0
2010-03-18,3730.53,0
2010-03-19,3710.45,0
2010-03-22,3701.9,0
2010-03-23,3729.16,0
2010-03-24,3721.26,0
2010-03-25,3776.31,0
2010-03-26,3766.18,0
2010-03-29,3776.92,0
2010-03-30,3764.99,0
2010-03-31,3754.45,0
2010-04-01,3813.38,0
2010-04-06,3830.5,0
2010-04-07,3813.01,0
2010-04-08,3772.64,0
2010-04-09,3836.83,0
2010-04-12,3847.31,0
2010-04-13,3834.02,0
2010-04-14,3857.02,0
2010-04-15,3861.78,0
2010-04-16,3784.2,0
2010-04-19,3770.64,0
2010-04-20,3825,0
2010-04-21,3782.73,0
2010-04-22,3722.5,0
2010-04-23,3751.11,0
2010-04-26,3786.46,0
2010-04-27,3652.99,0
2010-04-28,3588.46,0
2010-04-29,3639.31,0
2010-04-30,3626.64,0
2010-05-03,3629.03,0
2010-05-04,3493.29,0
2010-05-05,3448.76,0
2010-05-06,3367.61,0
2010-05-07,3227.67,0
2010-05-10,3544.29,0
2010-05-11,3512.14,0
2010-05-12,3559.05,0
2010-05-13,3560.55,0
2010-05-14,3398.57,0
2010-05-17,3397.33,0
2010-05-18,3472.37,0
2010-05-19,3371.46,0
2010-05-20,3307.07,0
2010-05-21,3312.27,0
2010-05-24,3293.01,0
2010-05-25,3203.51,0
2010-05-26,3260.02,0
2010-05-27,3371.79,0
2010-05-28,3368.65,0
2010-05-31,3364.18,0
2010-06-01,3360.27,0
2010-06-02,3357.15,0
2010-06-03,3397.75,0
2010-06-04,3300.03,0
2010-06-07,3269.49,0
2010-06-08,3243.96,0
2010-06-09,3304.27,0
2010-06-10,3370.95,0
2010-06-11,3405.86,0
2010-06-14,3460.57,0
2010-06-15,3499.51,0
2010-06-16,3502.12,0
2010-06-17,3516.15,0
2010-06-18,3530.33,0
2010-06-21,3570.77,0
2010-06-22,3545.06,0
2010-06-23,3494.44,0
2010-06-24,3420.13,0
2010-06-25,3396.18,0
2010-06-28,3444.49,0
2010-06-29,3305.91,0
2010-06-30,3320.47,0
2010-07-01,3249.05,0
2010-07-02,3254.95,0
2010-07-05,3238.04,0
2010-07-06,3326.49,0
2010-07-07,3394.5,0
2010-07-08,3434.2,0
2010-07-09,3451.53,0
2010-07-12,3457.13,0
2010-07-13,3524.08,0
2010-07-14,3525.78,0
2010-07-15,3482.13,0
2010-07-16,3409.99,0
2010-07-19,3394.61,0
2010-07-20,3386.42,0
2010-07-21,3403.9,0
2010-07-22,3497.88,0
2010-07-23,3507.95,0
2010-07-26,3536.87,0
2010-07-27,3566.18,0
2010-07-28,3560.41,0
2010-07-29,3545.26,0
2010-07-30,3532.44,0
2010-08-02,3631.28,0
2010-08-03,3631.88,0
2010-08-04,3638.81,0
2010-08-05,3633.03,0
2010-08-06,3582.57,0
2010-08-09,3640.44,0
2010-08-10,3606.34,0
2010-08-11,3512.17,0
2010-08-12,3508.01,0
2010-08-13,3496.38,0
2010-08-16,3484.18,0
2010-08-17,3536.95,0
2010-08-18,3525.97,0
2010-08-19,3460.47,0
2010-08-20,3420.01,0
2010-08-23,3439.73,0
2010-08-24,3385.4,0
2010-08-25,3350.78,0
2010-08-26,3374.4,0
2010-08-27,3404.82,0
2010-08-30,3388.2,0
2010-08-31,3396.93,0
2010-09-01,3510.73,0
2010-09-02,3512.78,0
2010-09-03,3547.64,0
2010-09-06,3557.73,0
2010-09-07,3524.26,0
2010-09-08,3558.48,0
2010-09-09,3596.22,0
