Date,Open,High,Low,Close,Adj Close,Volume
2003-09-17,1.427100,1.428600,1.423700,1.426100,1.426100,0
2003-09-18,1.426100,1.438200,1.423900,1.437000,1.437000,0
2003-09-19,1.436800,1.441100,1.433300,1.437200,1.437200,0
2003-09-22,1.435400,1.440800,1.433100,1.436000,1.436000,0
2003-09-23,1.436000,1.443600,1.434100,1.442600,1.442600,0
2003-09-24,1.442600,1.446200,1.439300,1.440900,1.440900,0
2003-09-25,1.440900,1.445500,1.439200,1.444000,1.444000,0
2003-09-26,1.444000,1.447800,1.442600,1.444700,1.444700,0
2003-09-29,1.446600,1.448900,1.432600,1.434300,1.434300,0
2003-09-30,1.435000,1.437400,1.422800,1.424400,1.424400,0
2003-10-01,1.424300,1.426700,1.416200,1.422300,1.422300,0
2003-10-02,1.422900,1.430700,1.419400,1.427800,1.427800,0
2003-10-03,1.427800,1.440300,1.424300,1.436600,1.436600,0
2003-10-06,1.436200,1.438600,1.424300,1.425700,1.425700,0
2003-10-07,1.425100,1.430400,1.409800,1.411400,1.411400,0
2003-10-08,1.411600,1.413900,1.404600,1.405900,1.405900,0
2003-10-09,1.406100,1.422900,1.404000,1.419200,1.419200,0
2003-10-10,1.419000,1.420300,1.408300,1.410200,1.410200,0
2003-10-13,1.409000,1.427900,1.406900,1.420300,1.420300,0
2003-10-14,1.421700,1.428300,1.419800,1.424300,1.424300,0
2003-10-15,1.425900,1.436000,1.423700,1.434300,1.434300,0
2003-10-16,1.434900,1.443600,1.432100,1.442800,1.442800,0
2003-10-17,1.441800,1.447700,1.434700,1.436200,1.436200,0
2003-10-20,1.434700,1.441800,1.433200,1.436000,1.436000,0
2003-10-21,1.435800,1.438400,1.431000,1.435100,1.435100,0
2003-10-22,1.434500,1.439900,1.430100,1.434900,1.434900,0
2003-10-23,1.434700,1.438600,1.428800,1.436000,1.436000,0
2003-10-24,1.436100,1.440900,1.432400,1.437400,1.437400,0
2003-10-27,1.441300,1.443800,1.439200,1.442200,1.442200,0
2003-10-28,1.442400,1.455600,1.441800,1.454300,1.454300,0
2003-10-29,1.454300,1.458000,1.451800,1.455000,1.455000,0
2003-10-30,1.455000,1.459900,1.451400,1.458300,1.458300,0
2003-10-31,1.457900,1.465500,1.452200,1.462000,1.462000,0
2003-11-03,1.464000,1.468000,1.459600,1.462200,1.462200,0
2003-11-04,1.462400,1.467100,1.456900,1.466800,1.466800,0
2003-11-05,1.466700,1.469100,1.458400,1.463900,1.463900,0
2003-11-06,1.464500,1.466200,1.458300,1.460900,1.460900,0
2003-11-07,1.460900,1.461000,1.448900,1.454100,1.454100,0
2003-11-10,1.454400,1.457700,1.451000,1.454800,1.454800,0
2003-11-11,1.454800,1.456600,1.443500,1.446600,1.446600,0
2003-11-12,1.447000,1.447200,1.436300,1.439200,1.439200,0
2003-11-13,1.439100,1.441700,1.431400,1.437500,1.437500,0
2003-11-14,1.437300,1.437900,1.431100,1.433100,1.433100,0
2003-11-17,1.429600,1.440500,1.428400,1.439100,1.439100,0
2003-11-18,1.439300,1.440100,1.421900,1.425200,1.425200,0
2003-11-19,1.425300,1.429500,1.421200,1.427800,1.427800,0
2003-11-20,1.427400,1.431800,1.422000,1.429800,1.429800,0
2003-11-21,1.430400,1.434200,1.427600,1.429400,1.429400,0
2003-11-24,1.431200,1.441600,1.429800,1.440600,1.440600,0
2003-11-25,1.439900,1.441800,1.436800,1.440700,1.440700,0
2003-11-26,1.440900,1.441300,1.430400,1.434000,1.434000,0
2003-11-27,1.433700,1.442000,1.432500,1.438500,1.438500,0
2003-11-28,1.438400,1.440700,1.431400,1.435800,1.435800,0
2003-12-01,1.432700,1.440500,1.432300,1.436600,1.436600,0
2003-12-02,1.436800,1.439900,1.429700,1.430800,1.430800,0
2003-12-03,1.430600,1.432200,1.424900,1.425100,1.425100,0
2003-12-04,1.425300,1.430000,1.419000,1.424200,1.424200,0
2003-12-05,1.424300,1.426500,1.419400,1.421300,1.421300,0
2003-12-08,1.420500,1.422700,1.415200,1.418500,1.418500,0
2003-12-09,1.418500,1.428100,1.417000,1.424300,1.424300,0
2003-12-10,1.424500,1.430600,1.422800,1.426900,1.426900,0
2003-12-11,1.426800,1.435800,1.424900,1.428400,1.428400,0
2003-12-12,1.428200,1.430000,1.419800,1.421100,1.421100,0
2003-12-15,1.426500,1.429600,1.416500,1.418400,1.418400,0
2003-12-16,1.417800,1.425300,1.412600,1.422900,1.422900,0
2003-12-17,1.423400,1.425500,1.418700,1.423100,1.423100,0
2003-12-18,1.422300,1.428500,1.419500,1.425400,1.425400,0
2003-12-19,1.425900,1.428000,1.421100,1.427300,1.427300,0
