Date,FTSE 100,NIKKEI 225 STOCK AVERAGE,SWISS MARKET (SMI),FTSEUROFIRST 80 E
1991-02-08,2245.2,24296.08,1477.9,null
1991-02-11,2279,24296.08,1515.7,null
1991-02-12,2264.5,24935.01,1515.1,null
1991-02-13,2267.8,25139.47,1540,null
1991-02-14,2294.4,25356.37,1537.2,null
1991-02-15,2296.9,25343.74,1558.9,null
1991-02-18,2318.3,26230.01,1579.9,null
1991-02-19,2312.4,26166.98,1574,null
1991-02-20,2296.8,26198.79,1537.6,null
1991-02-21,2312.4,26024.37,1560.6,null
1991-02-22,2314.3,25902.81,1571.7,null
1991-02-25,2335.5,26462.76,1603.2,null
1991-02-26,2322.2,26282.96,1576.6,null
1991-02-27,2348,26094.25,1589.5,null
1991-02-28,2380.9,26409.22,1578.7,null
1991-03-01,2386.9,25881.57,1559,null
1991-03-04,2382.9,25976.02,1580.6,null
1991-03-05,2420.1,25913.48,1591.8,null
1991-03-06,2459.9,26382.99,1625,null
1991-03-07,2437.7,26397.96,1622.9,null
1991-03-08,2455,26607.52,1643.2,null
1991-03-11,2459.1,26669.37,1622,null
1991-03-12,2454.8,26727.42,1616.8,null
1991-03-13,2448.2,26418.32,1592.3,null
1991-03-14,2500.6,26542.33,1632.6,null
1991-03-15,2494.2,26843.1,1629.3,null
1991-03-18,2490.6,27146.91,1610.6,null
1991-03-19,2459,27006.66,1586.5,null
1991-03-20,2441.2,26449.35,1577.3,null
1991-03-21,2474.8,26449.35,1599.8,null
1991-03-22,2440.5,26613.19,1611,null
1991-03-25,2431.9,26645.79,1615.7,null
1991-03-26,2437.6,26339.38,1613.6,null
1991-03-27,2464.6,26104.65,1650.6,null
1991-03-28,2456.5,26206.92,1649.4,null
1991-03-29,2456.5,26292.04,1649.4,null
1991-04-01,2456.5,26007.4,1649.4,null
1991-04-02,2488.3,26252,1653.1,null
1991-04-03,2519.1,26780.06,1677.3,null
1991-04-04,2524.5,26689.81,1676.9,null
1991-04-05,2545.3,26767.33,1690.3,null
1991-04-08,2529.9,26607.65,1693.9,null
1991-04-09,2527.2,26317.39,1695,null
1991-04-10,2518.8,26268.86,1671.1,null
1991-04-11,2531.6,26425.19,1673.6,null
1991-04-12,2526.1,26582.5,1688.7,null
1991-04-15,2542.8,26695.53,1695.4,null
1991-04-16,2519.5,26813.3,1665.3,null
1991-04-17,2545,26980.37,1683.4,null
1991-04-18,2538.4,26798.9,1676.5,null
1991-04-19,2520.1,26541.97,1677.2,null
1991-04-22,2490.8,26237.01,1656.1,null
1991-04-23,2503.8,26491.57,1675,null
1991-04-24,2488.6,26330.21,1670.6,null
1991-04-25,2482.1,26038.86,1662.7,null
1991-04-26,2471.3,26123.68,1660,null
1991-04-29,2498.2,26123.68,1669.7,null
1991-04-30,2486.2,26111.25,1659.5,null
1991-05-01,2508.4,26489,1662.6,null
1991-05-02,2530.7,26477.86,1677.2,null
1991-05-03,2522.7,26477.86,1664.2,null
1991-05-06,2522.7,26477.86,1657.3,null
1991-05-07,2540.5,26342.14,1665.8,null
1991-05-08,2523.4,26309.79,1645.8,null
1991-05-09,2541.8,26438.5,1645.8,null
1991-05-10,2524.3,26274.29,1661.9,null
1991-05-13,2486.6,26093.2,1654.3,null
1991-05-14,2463.7,26030.08,1653.3,null
1991-05-15,2459.4,25822.47,1647.8,null
1991-05-16,2471.9,25520.27,1654.8,null
1991-05-17,2453.9,25701.94,1659.5,null
1991-05-20,2466.6,25523.03,1659.5,null
1991-05-21,2482.7,25481.21,1675.9,null
1991-05-22,2465.9,25398.66,1689.4,null
1991-05-23,2482.8,25643.65,1692.4,null
1991-05-24,2471.1,25529.14,1691.9,null
1991-05-27,2471.1,25425.88,1710,null
1991-05-28,2479.7,25390.67,1723.5,null
1991-05-29,2492.9,25495.41,1717.1,null
1991-05-30,2491.2,25647.4,1714.7,null
1991-05-31,2499.5,25789.62,1740.8,null
1991-06-03,2515.8,25912.61,1733,null
1991-06-04,2506,25556.86,1723.2,null
1991-06-05,2521.5,25289.57,1730.2,null
1991-06-06,2525.3,24984.12,1723.6,null
1991-06-07,2506.3,25035.11,1723.6,null
1991-06-10,2511.9,24598.38,1712.6,null
1991-06-11,2542.6,24662.59,1717.6,null
