nullme,UK STERLING 3M DEPOSIT (FT/RFV) - MIDDLE RATE,JAPANESE YEN 3M DEPOSIT (FT/RFV) - MIDDLE RATE,SWISS 3 MONTH LIBOR (SNB) - MIDDLE RATE,EURONIA OVERNIGHT AVG. (LDN:WMBA) - MIDDLE RATE
1990-03-02,0.151875,0.07375,0.093125,null
1990-03-05,0.153438,0.07375,0.0921875,null
1990-03-06,0.152188,0.07375,0.09125,null
1990-03-07,0.151875,0.074375,0.08875,null
1990-03-08,0.15125,0.074375,0.08875,null
1990-03-09,0.154063,0.074375,0.090625,null
1990-03-12,0.15375,0.074375,0.0915625,null
1990-03-13,0.153438,0.075625,0.0925,null
1990-03-14,0.152188,0.07625,0.091875,null
1990-03-15,0.152813,0.07625,0.09,null
1990-03-16,0.151875,0.076875,0.09,null
1990-03-19,0.1525,0.0775,0.0903125,null
1990-03-20,0.1525,0.07625,0.09125,null
1990-03-21,0.154375,0.07625,0.090625,null
1990-03-22,0.154063,0.075,0.090625,null
1990-03-23,0.15375,0.075,0.09,null
1990-03-26,0.152188,0.075,0.09,null
1990-03-27,0.152813,0.075,0.091875,null
1990-03-28,0.152188,0.075625,0.0925,null
1990-03-29,0.151875,0.074375,0.0925,null
1990-03-30,0.152344,0.074375,0.09,null
1990-04-02,0.152188,0.073125,0.09,null
1990-04-03,0.152188,0.07375,0.09125,null
1990-04-04,0.151875,0.07375,0.091875,null
1990-04-05,0.151563,0.07375,0.0923438,null
1990-04-06,0.151563,0.07375,0.0925,null
1990-04-09,0.151563,0.073125,0.093125,null
1990-04-10,0.151875,0.07375,0.09375,null
1990-04-11,0.151875,0.074375,0.09375,null
1990-04-12,0.151875,0.074375,0.0925,null
1990-04-13,0.151875,0.074375,0.0925,null
1990-04-16,0.151875,0.074375,0.0925,null
1990-04-17,0.152188,0.074375,0.0925,null
1990-04-18,0.152188,0.07375,0.09375,null
1990-04-19,0.152188,0.07375,0.095,null
1990-04-20,0.151563,0.07375,0.095625,null
1990-04-23,0.152188,0.07375,0.095625,null
1990-04-24,0.152188,0.07375,0.096875,null
1990-04-25,0.152813,0.07375,0.09625,null
1990-04-26,0.153125,0.073125,0.09375,null
1990-04-27,0.153125,0.073125,0.093125,null
1990-04-30,0.153125,0.073125,0.09375,null
1990-05-01,0.153438,0.073125,0.0940625,null
1990-05-02,0.153438,0.073125,0.094375,null
1990-05-03,0.153438,0.073125,0.093125,null
1990-05-04,0.152188,0.073125,0.0925,null
1990-05-07,0.152188,0.073125,0.0925,null
1990-05-08,0.151875,0.0725,0.091875,null
1990-05-09,0.151875,0.0725,0.090625,null
1990-05-10,0.152188,0.0725,0.089375,null
1990-05-11,0.152188,0.073125,0.089375,null
1990-05-14,0.151875,0.0725,0.09,null
1990-05-15,0.151562,0.0725,0.088125,null
1990-05-16,0.151719,0.0725,0.08875,null
1990-05-17,0.151406,0.071875,0.088125,null
1990-05-18,0.150625,0.07375,0.0875,null
1990-05-21,0.149688,0.07375,0.088125,null
1990-05-22,0.149688,0.073125,0.0875,null
1990-05-23,0.150313,0.073125,0.088125,null
1990-05-24,0.150938,0.073125,0.088125,null
1990-05-25,0.151094,0.073125,0.088125,null
1990-05-28,0.151094,0.073125,0.088125,null
1990-05-29,0.150625,0.073125,0.088125,null
1990-05-30,0.150625,0.073125,0.088125,null
1990-05-31,0.151563,0.073125,0.088125,null
1990-06-01,0.151563,0.0725,0.088125,null
1990-06-04,0.151563,0.073125,0.088125,null
1990-06-05,0.15125,0.073125,0.08875,null
1990-06-06,0.150938,0.073125,0.08875,null
1990-06-07,0.150468,0.073125,0.09,null
1990-06-08,0.150468,0.073125,0.089375,null
1990-06-11,0.15,0.073125,0.09,null
1990-06-12,0.149063,0.073125,0.09,null
1990-06-13,0.14875,0.073125,0.089375,null
1990-06-14,0.149063,0.073125,0.0889063,null
1990-06-15,0.149063,0.073125,0.088125,null
1990-06-18,0.149063,0.073125,0.08875,null
1990-06-19,0.149063,0.0734375,0.0895313,null
1990-06-20,0.149063,0.074063,0.09,null
1990-06-21,0.149063,0.074063,0.09,null
1990-06-22,0.149375,0.074375,0.09,null
1990-06-25,0.14875,0.074375,0.09,null
1990-06-26,0.14875,0.074375,0.08875,null
1990-06-27,0.149063,0.074375,0.09,null
1990-06-28,0.149531,0.07625,0.09,null
1990-06-29,0.149531,0.07625,0.09,null
1990-07-02,0.149063,0.07625,0.0910938,null
1990-07-03,0.149219,0.07625,0.090625,null
1990-07-04,0.149063,0.075625,0.090625,null
1990-07-05,0.149688,0.075625,0.090625,null
1990-07-06,0.149688,0.075625,0.091875,null
1990-07-09,0.149375,0.075625,0.091875,null
1990-07-10,0.149063,0.075625,0.0921875,null
1990-07-11,0.15,0.07625,0.09125,null
1990-07-12,0.151406,0.07625,0.0901563,null
1990-07-13,0.149688,0.07625,0.0898438,null
1990-07-16,0.15,0.07625,0.08875,null
1990-07-17,0.149063,0.076875,0.0895313,null
1990-07-18,0.149063,0.076875,0.089375,null
1990-07-19,0.149375,0.076875,0.08875,null
1990-07-20,0.15,0.076875,0.089375,null
1990-07-23,0.149375,0.076875,0.09,null
1990-07-24,0.149688,0.076875,0.089375,null
1990-07-25,0.15,0.076875,0.089375,null
1990-07-26,0.15,0.076875,0.0896875,null
1990-07-27,0.149688,0.076875,0.09,null
1990-07-30,0.149375,0.0775,0.089375,null
1990-07-31,0.15,0.0775,0.0895313,null
1990-08-01,0.149688,0.0775,0.09,null
1990-08-02,0.149688,0.0775,0.090625,null
1990-08-03,0.149688,0.0775,0.090625,null
1990-08-06,0.15,0.078125,0.091875,null
1990-08-07,0.149688,0.078125,0.09125,null
1990-08-08,0.149844,0.078125,0.090625,null
1990-08-09,0.149844,0.078125,0.0904688,null
1990-08-10,0.149688,0.0775,0.090625,null
1990-08-13,0.15,0.07875,0.09125,null
1990-08-14,0.150313,0.07875,0.09125,null
1990-08-15,0.15,0.07875,0.090625,null
1990-08-16,0.15,0.07875,0.089375,null
1990-08-17,0.150313,0.079375,0.089375,null
1990-08-20,0.150313,0.079375,0.089375,null
1990-08-21,0.150313,0.079375,0.089375,null
1990-08-22,0.149531,0.080625,0.089375,null
1990-08-23,0.149531,0.080625,0.08875,null
1990-08-24,0.149219,0.080625,0.0875,null
1990-08-27,0.149219,0.080625,0.0875,null
1990-08-28,0.14875,0.080625,0.08625,null
1990-08-29,0.14875,0.083125,0.086875,null
1990-08-30,0.149688,0.081875,0.085625,null
1990-08-31,0.15,0.081875,0.08625,null
1990-09-03,0.149375,0.081875,0.086875,null
1990-09-04,0.149375,0.0825,0.086875,null
1990-09-05,0.148438,0.083125,0.085,null
1990-09-06,0.14875,0.083125,0.083125,null
1990-09-07,0.149063,0.083125,0.084375,null
1990-09-10,0.149688,0.08375,0.08375,null
1990-09-11,0.149219,0.084375,0.08375,null
1990-09-12,0.149063,0.084375,0.08375,null
1990-09-13,0.149063,0.084375,0.083125,null
1990-09-14,0.149063,0.08375,0.083125,null
1990-09-17,0.149063,0.083125,0.08125,null
1990-09-18,0.149063,0.083125,0.0810938,null
1990-09-19,0.149063,0.083125,0.08125,null
1990-09-20,0.149063,0.083125,0.08125,null
1990-09-21,0.14875,0.083125,0.08125,null
1990-09-24,0.149063,0.083125,0.0821875,null
1990-09-25,0.149063,0.083125,0.083125,null
1990-09-26,0.149688,0.083125,0.0826563,null
