Date,GBP,JPY,CHF,EUR
2005,0.04729,0.00038,0.00722,0.02104
2006,0.04724,0.00202,0.01354,0.02852
2007,0.05644,0.00588,0.02245,0.03889
2008,0.04796,0.00598,0.02035,0.03869
2009,0.00688,0.00151,0.00104,0.00635
2010,0.00543,0.00111,0.00064,0.00381
2011,0.00572,0.0011,0.00049,0.00818
2012,0.00528,0.00102,0.00016,0.0015
2013,0.00476,0.00085,-0.00005,0.00041
2014,0.00468,0.00054,-0.00008,0.00046
2015,0.00479,0.00034,-0.0076,-0.00168
2016,0.00377,-0.00039,-0.0078,-0.00376
2017,0.00263,-0.00019,-0.00786,-0.00427
2018,0.00561,-0.00063,-0.00784,-0.00446
